date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,-1.3,-3.3,0.2,,,206,14,,1021,
2017-01-02,2.4,0.3,7,,,278,8.9,,1024.4,
2017-01-03,3,0.5,4.6,,,247,15.8,,1025.6,
2017-01-04,5.7,4.5,7.5,,,301,22.5,,1019.5,
2017-01-05,2.4,-3.1,5.1,,,15,9.8,,1031.6,
2017-01-06,-2.8,-5.9,1,,,,,,1039.7,
2017-01-07,-0.9,-2.4,1.3,,,,12,,1032.8,
2017-01-08,4.2,1.6,6.9,,,,,,1031.8,
2017-01-09,5,3.8,6.1,,,204,14.7,,1023.2,
2017-01-10,5.5,3.8,6.6,,,231,12.9,,1009.9,
2017-01-11,7.2,5.7,10.6,,,248,22.1,,1009.3,
2017-01-12,5.5,3.2,7,,,226,18,,,
2017-01-13,3.1,0.8,5.5,,,292,26,,,
2017-01-14,2.6,1,4.1,,,,17.6,,1014.6,
2017-01-15,1.7,0.3,3,,,,,,1021.6,
2017-01-16,0.9,-1.5,2.2,,,63,7.2,,1027.8,
2017-01-17,-2.3,-3.6,0.2,,,69,7.7,,1037.2,
2017-01-18,,,,,,,,,,
2017-01-19,-1.4,-5.1,3.3,,,63,8.9,,1037.4,
2017-01-20,-0.1,-4.1,5.5,,,66,9.3,,1034.4,
2017-01-21,-1.1,-6,4,,,,,,1029.7,
2017-01-22,-2.6,-8,4.1,,,,,,1027.7,
2017-01-23,1.7,0.4,3.9,,,,,,1028,
2017-01-24,1,0.2,2.3,,,208,5.8,,1028.9,
2017-01-25,-1.1,-4.4,0.9,,,101,8.1,,1030.1,
2017-01-26,-2.9,-6.2,0.3,,,134,9.9,,1024.4,
2017-01-27,-0.1,-6.8,6.4,,,129,9.9,,1016.6,
2017-01-28,7.4,3.6,11.3,,,173,14.7,,1015.5,
2017-01-29,5.3,4.1,6.7,,,194,15,,1017.9,
2017-01-30,6.2,4.3,7.7,,,246,17.3,,1011.6,
2017-01-31,2.9,-0.3,4,,,92,9.3,,1016.8,
2017-02-01,4.6,-1.1,8.3,,,128,11.7,,1013.3,
2017-02-02,9.8,5.1,13.7,,,153,14.4,,1005.5,
2017-02-03,9.5,5.7,11.7,,,174,14.6,,1001.8,
2017-02-04,5.4,1.5,7.5,,,159,11,,998.9,
2017-02-05,5.5,2.3,7.7,,,85,11.9,,1002.6,
2017-02-06,5.5,3.3,7.9,,,,6.5,,1017,
2017-02-07,4.9,3.8,5.6,,,117,7.5,,1016.2,
2017-02-08,3.1,1.3,5.5,,,31,10.2,,1022.7,
2017-02-09,0.7,-0.4,2,,,57,11.1,,1027.1,
2017-02-10,-1.3,-3.1,-0.1,,,50,10.8,,1022.4,
2017-02-11,0.1,-0.8,1.1,,,43,9.5,,1020.5,
2017-02-12,3,0.8,6.3,,,75,11.6,,1023.4,
2017-02-13,3.8,0.3,7.7,,,85,19.5,,1026.1,
2017-02-14,5,-0.9,11.8,,,104,12,,1027.6,
2017-02-15,7.3,0.2,15,,,143,8,,1031.4,
2017-02-16,8.6,6.3,11.5,,,239,10.5,,1030.4,
2017-02-17,7.4,6.4,9.1,,,274,12.3,,1027.5,
2017-02-18,6.8,2,12,,,174,4.7,,1027.1,
2017-02-19,6.1,1.8,9.3,,,236,11.9,,1023,
2017-02-20,9.3,7.6,11.1,,,234,17.2,,1018.5,
2017-02-21,10.6,10,11.2,,,257,15.6,,1016,
2017-02-22,10.3,10,10.7,,,244,26.4,,1009.2,
2017-02-23,9.4,6.3,11.5,,,240,35.3,,998.7,
2017-02-24,5.7,4.4,7.3,,,292,16.7,,1013.5,
2017-02-25,5.8,2.4,9.4,,,211,16.8,,1018.6,
2017-02-26,8.9,6.9,11.1,,,209,19.5,,1011.1,
2017-02-27,9.7,6.6,11.3,,,206,23.7,,997.7,
2017-02-28,5.3,2,7.2,,,221,21.6,,990.7,
2017-03-01,6.8,3.5,9.5,,,223,16.4,,998.9,
2017-03-02,7.8,5.9,9.4,,,249,25.8,,1008.3,
2017-03-03,6.7,1,11.3,,,151,11.9,,1005.5,
2017-03-04,10.1,6.7,12.2,,,186,13.8,,992.8,
2017-03-05,6.9,5.6,9.7,,,200,19.8,,996.7,
2017-03-06,6.5,5,8.8,,,266,16.8,,1001.2,
2017-03-07,6.9,4.1,10.2,,,,,,1015.3,
2017-03-08,7.7,2.6,11.3,,,217,15.8,,1015.2,
2017-03-09,10.5,6.2,13.4,,,268,16.2,,1019.9,
2017-03-10,5.9,-1.2,11.1,,,,,,1027.9,
2017-03-11,7,-0.1,12.9,,,,,,1021.3,
2017-03-12,8.9,2.1,16.7,,,,,,1014.8,
2017-03-13,8,2.5,13,,,307,11,,1025.5,
2017-03-14,8.7,4.7,13.3,,,240,10.4,,1032.5,
2017-03-15,11.5,6,15.5,,,,,,1032.6,
2017-03-16,10.4,2.1,17.7,,,,,,1024.2,
2017-03-17,9.6,7.7,11.6,,,275,18.6,,1016.7,
2017-03-18,10.8,7.5,13.4,,,258,22.1,,1008.8,
2017-03-19,11.6,10.9,12.9,,,245,23.9,,1010,
2017-03-20,10.7,9.2,11.8,,,221,22.5,,1007.8,
2017-03-21,9.2,6.5,10.3,,,254,16.9,,1010,
2017-03-22,6.7,-0.2,12.2,,,150,13.7,,1012.9,
2017-03-23,9,2.8,14.9,,,78,15.8,,1015.4,
2017-03-24,9.4,5.9,14.1,,,65,17.1,,1026.8,
2017-03-25,10,4.1,15.1,,,55,19.5,,1028.1,
2017-03-26,,,,,,,,,,
2017-03-27,10.5,3.1,17.3,,,,,,1022.5,
2017-03-28,11.5,2,20,,,,,,,
2017-03-29,13.3,10.5,16.5,,,230,15.5,,1024.7,
2017-03-30,16.2,10.8,22.1,,,185,12.8,,1023.3,
2017-03-31,14.5,8.4,19.9,,,184,13.5,,1014,
2017-04-01,11,7.8,14.1,,,172,7.1,,1012.3,
2017-04-02,11.1,6.6,16,,,,9.2,,1020,
2017-04-03,8.5,5.4,13.9,,,,,,1027.1,
2017-04-04,9.7,2.8,15.2,,,,,,1024.8,
2017-04-05,9.8,7.6,12.7,,,335,15.3,,1027.7,
2017-04-06,8.7,6.5,11.2,,,336,10.2,,1029.4,
2017-04-07,8.8,3.1,12.7,,,281,9,,1026.8,
2017-04-08,11.1,7.9,16,,,,,,1025.3,
2017-04-09,12.6,1.9,22.7,,,,,,1022.7,
2017-04-10,11.7,7.7,15.9,,,314,17.3,,1022.3,
2017-04-11,9.8,6.3,13.6,,,278,9.3,,1026.5,
2017-04-12,10,6.8,14.1,,,245,17.7,,1018.9,
2017-04-13,10.2,7.9,12.7,,,281,16.1,,1016.6,
2017-04-14,9.1,4.3,12.7,,,237,9.2,,1017.2,
2017-04-15,10.1,8.1,12.1,,,270,18.3,,1016.4,
2017-04-16,8.8,6.6,10.9,,,275,16.7,,1020.5,
2017-04-17,8.3,4.5,11.8,,,345,15.9,,1019.8,
2017-04-18,6.5,2.8,10.8,,,340,9.5,,1027.3,
2017-04-19,5.1,0.7,8.9,,,34,13.2,,1035.8,
2017-04-20,5.8,-2.5,12.2,,,,,,1036.7,
2017-04-21,10.5,4.2,14.2,,,255,12.5,,1031,
2017-04-22,9.7,5.9,11.9,,,,15.3,,1027.3,
2017-04-23,8,4.3,11.4,,,355,9.3,,1026.8,
2017-04-24,9.2,1.7,14.8,,,225,12.9,,1016.6,
2017-04-25,7.4,5.2,9.5,,,293,19.1,,1010.3,
2017-04-26,6.8,2.9,10.6,,,306,10.7,,1013.4,
2017-04-27,6.5,0.3,9.3,,,294,10.8,,1017.4,
2017-04-28,8.2,5.5,11,,,275,14.1,,1015.6,
2017-04-29,8.4,0.9,13.4,,,,7.1,,1017.8,
2017-04-30,12,2.3,20.6,,,112,18.3,,1008.5,
2017-05-01,12.2,9.1,15,,,,,,1009,
2017-05-02,9.2,4.1,12.4,,,,,,1017.2,
2017-05-03,10.3,7.8,14.3,,,55,9.6,,1019.1,
2017-05-04,11.5,9.8,15.3,,,42,13.2,,1019.3,
2017-05-05,9.6,8,12.5,,,57,12,,1020.5,
2017-05-06,13.4,6.3,20.3,,,65,14.6,,1011.8,
2017-05-07,11.6,9.4,14.4,,,340,15.8,,1016.4,
2017-05-08,10.4,8.5,15.1,,,341,15.5,,1021.4,
2017-05-09,9.7,4.6,14.5,,,,10.5,,1021.5,
2017-05-10,11.2,3.5,18,,,,7.2,,1010,
2017-05-11,14.4,7.6,22.7,,,101,9.5,,998.8,
2017-05-12,16.3,13.2,22.3,,,184,13.1,,1000.1,
2017-05-13,15.4,12.9,19.2,,,200,12,,1009.9,
2017-05-14,14.6,9.5,19.4,,,202,12.6,,1020,
2017-05-15,14.9,4.6,22.1,,,194,8.6,,1028.2,
2017-05-16,21.8,16.9,26.6,,,204,11.3,,1026.4,
2017-05-17,23.1,17.1,29.5,,,141,9.6,,1017.9,
2017-05-18,17.5,14.9,24.3,,,341,12.5,,1011.2,
2017-05-19,13.3,10.1,17.3,,,221,14.6,,1011,
2017-05-20,13.1,9.1,18.4,,,,,,1020,
2017-05-21,14.7,6.9,19.9,,,,6.7,,1025.7,
2017-05-22,17.9,8.2,25.1,,,,7.3,,1018.7,
2017-05-23,18,14.5,20.7,,,,,,1019.2,
2017-05-24,17.8,12.9,22.7,,,287,13.4,,1024.7,
2017-05-25,18.6,12.3,24.8,,,46,9,,1024.5,
2017-05-26,21.2,14.4,27.3,,,89,14.3,,1020.4,
2017-05-27,22.9,13.7,31.1,,,140,13.7,,1016.5,
2017-05-28,21.9,16.7,27.4,,,,7.7,,1018.1,
2017-05-29,22.6,17.5,30.8,,,11,14,,1012.7,
2017-05-30,19.6,17,21.5,,,256,15,,1015.3,
2017-05-31,18.1,12.7,23.1,,,,12,,1021.9,
2017-06-01,19.4,11.7,25.5,,,,6.5,,1021.8,
2017-06-02,21.6,15.2,27.1,,,,7.6,,1016.9,
2017-06-03,20.2,17.4,23.2,,,269,14,,1013.6,
